#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
11.9691983;-1.6833361;-0.4173687;-1.5712682;-0.0006315;4.0000000;0.0000000
12.1686850;-1.4838495;-0.4174752;-1.5713916;-0.0006052;4.0000000;0.0000000
12.3681716;-1.2843629;-0.4176058;-1.5715098;-0.0005802;4.0000000;0.0000000
12.5676582;-1.0848763;-0.4177595;-1.5716232;-0.0005570;4.0000000;0.0000000
12.7671449;-0.8853898;-0.4179354;-1.5717322;-0.0005360;4.0000000;0.0000000
12.9666315;-0.6859032;-0.4181326;-1.5718372;-0.0005173;4.0000000;0.0000000
13.1661182;-0.4864167;-0.4183505;-1.5719388;-0.0005014;4.0000000;0.0000000
13.3656048;-0.2869302;-0.4185883;-1.5720375;-0.0004884;4.0000000;0.0000000
13.5650914;-0.0874437;-0.4188455;-1.5721339;-0.0004788;4.0000000;0.0000000
13.7645781;0.1120427;-0.4191218;-1.5722288;-0.0004728;4.0000000;0.0000000
13.9640647;0.3115291;-0.4194170;-1.5723228;-0.0004697;4.0000000;0.0000000
14.1635513;0.5110155;-0.4197308;-1.5724165;-0.0004698;4.0000000;0.0000000
14.3630380;0.7105019;-0.4200634;-1.5725106;-0.0004744;4.0000000;0.0000000
14.5625246;0.9099882;-0.4204149;-1.5726061;-0.0004834;4.0000000;0.0000000
14.7620113;1.1094745;-0.4207856;-1.5727039;-0.0004978;4.0000000;0.0000000
14.9614979;1.3089608;-0.4211761;-1.5728048;-0.0005144;4.0000000;0.0000000
15.1609845;1.5084470;-0.4215872;-1.5729098;-0.0005391;4.0000000;0.0000000
15.3604712;1.7079332;-0.4220197;-1.5730196;-0.0005616;4.0000000;0.0000000
15.5599578;1.9074193;-0.4224746;-1.5731352;-0.0005993;4.0000000;0.0000000
15.7594445;2.1069053;-0.4229533;-1.5732583;-0.0006344;4.0000000;0.0000000
15.9589311;2.3063914;-0.4234572;-1.5733867;-0.0006505;4.0000000;0.0000000
16.1584177;2.5058773;-0.4239877;-1.5735304;-0.0008104;4.0000000;0.0000000
16.3579044;2.7053633;-0.4245514;-1.5737270;-0.0011876;4.0000000;0.0000000
16.5573910;2.9048490;-0.4251628;-1.5740111;-0.0016716;4.0000000;0.0000000
16.7568777;3.1043342;-0.4258392;-1.5743686;-0.0018693;4.0000000;0.0000000
16.9563643;3.3038195;-0.4265883;-1.5747265;-0.0016677;4.0000000;0.0000000
17.1558509;3.5033044;-0.4274035;-1.5750285;-0.0013529;4.0000000;0.0000000
17.3553376;3.7027891;-0.4282726;-1.5752680;-0.0010518;4.0000000;0.0000000
17.5548242;3.9022738;-0.4291847;-1.5754668;-0.0009747;4.0000000;0.0000000
17.7543108;4.1017582;-0.4301359;-1.5756641;-0.0010143;4.0000000;0.0000000
17.9537975;4.3012423;-0.4311275;-1.5758724;-0.0010751;4.0000000;0.0000000
18.1532841;4.5007265;-0.4321623;-1.5760998;-0.0012181;4.0000000;0.0000000
18.3527708;4.7002098;-0.4332458;-1.5763637;-0.0014369;4.0000000;0.0000000
18.5522574;4.8996934;-0.4343865;-1.5766716;-0.0016470;4.0000000;0.0000000
18.7517440;5.0991767;-0.4355931;-1.5770286;-0.0019472;4.0000000;0.0000000
18.9512307;5.2986584;-0.4368762;-1.5774318;-0.0020622;4.0000000;0.0000000
19.1507173;5.4981407;-0.4382396;-1.5778178;-0.0017423;4.0000000;0.0000000
19.3502040;5.6976224;-0.4396724;-1.5781264;-0.0013526;4.0000000;0.0000000
19.5496906;5.8971033;-0.4411591;-1.5783599;-0.0009940;4.0000000;0.0000000
19.7491772;6.0965842;-0.4426856;-1.5785275;-0.0006957;4.0000000;0.0000000
19.9486639;6.2960648;-0.4442401;-1.5786437;-0.0004818;4.0000000;0.0000000
20.1481505;6.4955453;-0.4458085;-1.5786231;0.0008940;4.0000000;0.0000000
20.3476371;6.6950263;-0.4473377;-1.5782186;0.0032985;4.0000000;0.0000000
20.5471238;6.8945078;-0.4487409;-1.5773999;0.0047013;4.0000000;0.0000000
20.7466104;7.0939917;-0.4498976;-1.5752573;0.0191740;4.0000000;0.0000000
