#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
14.3116289;8.5786741;4.0657873;0.8246553;0.7519870;2.8060987;-0.7979193
14.5104015;8.4215360;4.1869991;1.0174064;1.1548574;2.7489963;-0.0184119
14.7091742;8.2432113;4.2743258;1.1976876;0.7179991;2.7476647;-0.0151276
14.9079468;8.0526401;4.3293965;1.4013175;1.2606634;2.7465701;-0.0151276
15.1067194;7.8544968;4.3436148;1.5712679;0.5288013;2.7454751;5.2848844
15.3054920;7.6565379;4.3299154;1.7242960;0.9600515;3.1046118;0.2371051
15.5042647;7.4634328;4.2838325;1.8713230;0.5561270;3.1197555;4.0777684
15.7030373;7.2774669;4.2138484;1.9941550;0.6687279;3.3695655;1.8945139
15.9018099;7.1020776;4.1204961;2.1254662;0.6548240;3.4795297;1.5576840
16.1005825;6.9396404;4.0060850;2.2371145;0.4682321;3.5674047;3.5255812
16.2993552;6.7892003;3.8762489;2.3280947;0.4556062;3.7587171;3.0448852
16.4981278;6.6507434;3.7336543;2.4109956;0.3748035;3.9164313;1.6641270
16.6969004;6.5233793;3.5810550;2.4791690;0.3130517;4.0000000;0.0000000
16.8956730;6.4055506;3.4210194;2.5309630;0.2025273;4.0000000;0.0000000
17.0944457;6.2941990;3.2564035;2.5584394;0.0725648;4.0000000;0.0000000
17.2932183;6.1852637;3.0901620;2.5604676;-0.0522279;4.0000000;0.0000000
17.4919909;6.0745531;2.9251052;2.5365445;-0.1885479;4.0000000;0.0000000
17.6907635;5.9576114;2.7644062;2.4831743;-0.3478868;4.0000000;-1.1157238
17.8895362;5.8298564;2.6121981;2.3981722;-0.5072733;3.9441665;-0.0311712
18.0883088;5.6877186;2.4733926;2.2870191;-0.6118094;3.9425953;-0.0311712
18.2870814;5.5303545;2.3521439;2.1685379;-0.5821041;3.9410234;0.4378078
18.4858540;5.3602421;2.2495041;2.0617618;-0.4938655;3.9630435;0.7402584
18.6846267;5.1807406;2.1642968;1.9674558;-0.4564766;4.0000000;0.0000000
18.8833993;4.9942495;2.0956885;1.8803797;-0.4204508;4.0000000;0.0000000
19.0821719;4.8026733;2.0428791;1.8003259;-0.3855757;4.0000000;0.0000000
19.2809445;4.6076062;2.0048975;1.7269549;-0.3530399;4.0000000;0.0000000
19.4797171;4.4103515;1.9806620;1.6603273;-0.3174064;4.0000000;0.0000000
19.6784898;4.2119543;1.9689069;1.6008233;-0.2813941;4.0000000;0.0000000
19.8772624;4.0132042;1.9682596;1.5484812;-0.2452803;4.0000000;0.0000000
20.0760350;3.8146537;1.9772988;1.5033223;-0.2090866;4.0000000;0.0000000
20.2748076;3.6166468;1.9945885;1.4652243;-0.1743073;4.0000000;0.0000000
20.4735803;3.4193577;2.0187500;1.4336614;-0.1434762;4.0000000;0.0000000
20.6723529;3.2228346;2.0485230;1.4082656;-0.1119679;4.0000000;0.0000000
20.8711255;3.0270195;2.0826577;1.3892323;-0.0794646;4.0000000;0.0000000
21.0698981;2.8317695;2.1198974;1.3764108;-0.0497077;4.0000000;0.0000000
21.2686708;2.6368984;2.1590787;1.3692430;-0.0225608;4.0000000;0.0000000
21.4674434;2.4422031;2.1991289;1.3675185;0.0052572;4.0000000;0.0000000
21.6662160;2.2474661;2.2389780;1.3712963;0.0327271;4.0000000;0.0000000
