#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
14.3817853;8.8311002;3.9784196;0.6875609;0.7072752;3.3202270;-1.4081366
14.5815323;8.6935432;4.1230079;0.8357908;0.7764610;3.2344034;-1.1205182
14.7812794;8.5353651;4.2446357;0.9969100;0.8398036;3.1644470;-0.7618281
14.9810264;8.3590792;4.3380727;1.1724973;0.9030075;3.1159877;-0.3849985
15.1807734;8.1691162;4.3989114;1.3477233;0.8473855;3.0912093;-0.8720880
15.3805204;7.9715762;4.4274974;1.5017817;0.7601408;3.0343337;-0.0184488
15.5802674;7.7721483;4.4230914;1.6977116;1.0337169;3.0331189;-0.0184488
15.7800144;7.5767048;4.3842127;1.8062441;0.2703034;3.0319037;3.7269869
15.9797615;7.3851113;4.3290912;1.9105627;0.7036496;3.2682334;-0.0214027
16.1795085;7.2024531;4.2477918;2.0775917;0.8910502;3.2669250;-0.0214027
16.3792555;7.0351141;4.1388677;2.1994801;0.3937349;3.2656162;5.2786145
16.5790025;6.8790777;4.0140037;2.2997471;0.6160243;3.5739367;1.6158928
16.7787495;6.7379556;3.8728990;2.4065786;0.4388873;3.6631357;3.5938546
16.9784966;6.6105072;3.7190705;2.4927395;0.4358667;3.8541260;2.8679103
17.1782436;6.4966105;3.5550528;2.5740945;0.3661236;4.0000000;0.0000000
17.3779906;6.3947697;3.3833163;2.6340640;0.2319731;4.0000000;0.0000000
17.5777376;6.3008141;3.2070746;2.6640073;0.0661040;4.0000000;0.0000000
17.7774846;6.2091484;3.0296084;2.6598213;-0.1078257;4.0000000;0.0000000
17.9772316;6.1136765;2.8541666;2.6208070;-0.2829075;4.0000000;-1.1878518
18.1769787;6.0085975;2.6843414;2.5491010;-0.4359574;3.9402361;-1.0741125
18.3767257;5.8893259;2.5242170;2.4494797;-0.5608081;3.8854033;-0.0302492
18.5764727;5.7531791;2.3782228;2.3302374;-0.6304579;3.8838479;-0.0302492
18.7762197;5.6004826;2.2496308;2.2145714;-0.5295986;3.8822918;1.4975638
18.9759667;5.4349453;2.1380017;2.1160287;-0.4580199;3.9585929;0.8248989
19.1757138;5.2598139;2.0420720;2.0294002;-0.4099793;4.0000000;0.0000000
19.3754608;5.0774184;1.9607601;1.9525834;-0.3599605;4.0000000;0.0000000
19.5752078;4.8896048;1.8928452;1.8840859;-0.3263989;4.0000000;0.0000000
19.7749548;4.6977452;1.8373439;1.8215814;-0.2997907;4.0000000;0.0000000
19.9747018;4.5029178;1.7934686;1.7636522;-0.2808598;4.0000000;0.0000000
20.1744488;4.3059140;1.7606260;1.7086599;-0.2706269;4.0000000;0.0000000
20.3741959;4.1074056;1.7384880;1.6552602;-0.2645572;4.0000000;0.0000000
20.5739429;3.9080022;1.7268350;1.6034538;-0.2538028;4.0000000;0.0000000
20.7736899;3.7082544;1.7252923;1.5540178;-0.2411212;4.0000000;0.0000000
20.9734369;3.5086650;1.7333661;1.5071630;-0.2278221;4.0000000;0.0000000
21.1731839;3.3096683;1.7504852;1.4634535;-0.2087516;4.0000000;0.0000000
21.3729310;3.1115537;1.7758767;1.4239382;-0.1866478;4.0000000;0.0000000
21.5726780;2.9145279;1.8086324;1.3889332;-0.1636310;4.0000000;0.0000000
21.7724250;2.7186911;1.8477770;1.3591137;-0.1335847;4.0000000;0.0000000
21.9721720;2.5239475;1.8921200;1.3359039;-0.0981990;4.0000000;0.0000000
22.1719190;2.3301009;1.9402856;1.3197316;-0.0641448;4.0000000;0.0000000
22.3716660;2.1368921;1.9909128;1.3105766;-0.0267450;4.0000000;0.0000000
22.5714131;1.9439451;2.0425698;1.3091462;0.0125975;4.0000000;0.0000000
22.7711601;1.7508639;2.0937527;1.3154267;0.0498242;4.0000000;0.0000000
22.9709071;1.5572911;2.1430090;1.3290481;0.0865699;4.0000000;0.0000000
23.1706541;1.3628944;2.1888994;1.3502252;0.1260161;4.0000000;0.0000000
23.3704011;1.1674010;2.2298841;1.3793879;0.1659798;4.0000000;0.0000000
