3.6686325,-1.2986986,1.9824549
3.6732005,-1.3404614,2.0292903
3.6773651,-1.3831210,2.0761257
3.6809596,-1.4266126,2.1229611
3.6838174,-1.4708715,2.1697964
3.6857718,-1.5158330,2.2166318
3.6866560,-1.5614324,2.2634672
3.6863036,-1.6076050,2.3103026
3.6845477,-1.6542859,2.3571379
3.6812217,-1.7014105,2.
3.6761590,-1.7489141,2.4508087
3.6691929,-1.7967319,2.4976440
3.6601567,-1.8447991,2.5444794
3.6488837,-1.8930511,2.5913148
3.6352073,-1.9414232,2.6381502
3.6189609,-1.9898505,2.6849855
3.5999777,-2.0382684,2.7318209
3.5780911,-2.0866122,2.7786563
3.5531344,-2.1348170,2.8254917
3.5249410,-2.1828182,2.8723270
3.4933441,-2.2305511,2.9191624
3.4581772,-2.2779509,2.9659978
3.4192735,-2.3249529,3.0128331
3.3829754,-2.3647197,3.0507117
3.3556254,-2.3925568,3.0731916
3.3268742,-2.4201975,3.0956716
3.2967612,-2.4476317,3.1181515
3.2653255,-2.4748493,3.1406314
3.2326066,-2.5018404,3.1631114
3.1986438,-2.5285949,3.1855913
3.1634764,-2.5551027,3.2080712
3.1271437,-2.5813539,3.2305512
3.0896851,-2.6073383,3.2530311
3.0511399,-2.6330460,3.2755110
3.0115474,-2.6584670,3.2979910
2.9709469,-2.6835911,3.3204709
2.9293778,-2.7084084,3.3429509
2.8868793,-2.7329087,3.3654308
2.8434909,-2.7570822,3.3879107
2.7992519,-2.7809187,3.4103907
2.7542015,-2.8044083,3.4328706
2.7083791,-2.8275408,3.4553505
2.6618240,-2.8503062,3.4778305
2.6145755,-2.8726946,3.5003104
2.5666731,-2.8946958,3.5227903
2.5181559,-2.9162999,3.5452703
2.4690634,-2.9374968,3.5677502
2.4194348,-2.9582764,3.5902302
2.3693094,-2.9786288,3.6127101
2.3187267,-2.9985438,3.6351900
2.2677259,-3.0180116,3.6576700
2.2163464,-3.0370219,3.6801499
2.1646275,-3.0555649,3.7026298
2.1126084,-3.0736304,3.7251098
2.0603286,-3.0912084,3.7475897
2.0078274,-3.1082889,3.7700696
1.9551440,-3.1248619,3.7925496
1.9023179,-3.1409172,3.8150295
1.8493883,-3.1564450,3.8375094
1.7963945,-3.1714351,3.8599894
1.7433759,-3.1858775,3.8824693
1.6871934,-3.2005796,3.9121520
1.6302761,-3.2148600,3.9436213
1.5734480,-3.2285257,3.9750907
1.5167442,-3.2415944,4.0065601
1.4601999,-3.2540840,4.0380294
1.4038502,-3.2660120,4.0694988
1.3477304,-3.2773963,4.1009682
1.2918756,-3.2882546,4.1324376
1.2363210,-3.2986047,4.1639069
1.1811017,-3.3084642,4.1953763
1.1262529,-3.3178509,4.2268457
1.0718098,-3.3267825,4.2583150
1.0178076,-3.3352768,4.2897844
0.9642814,-3.3433515,4.3212538
0.9112664,-3.3510243,4.3527231
0.8587978,-3.3583130,4.3841925
0.8069108,-3.3652354,4.4156619
0.7556404,-3.3718091,4.4471313
0.7050219,-3.3780519,4.4786006
0.6550905,-3.3839815,4.5100700
0.6058813,-3.3896156,4.5415394
0.5574295,-3.3949721,4.5730087
0.5097703,-3.4000686,4.6044781
0.4629388,-3.4049228,4.6359475
0.4169702,-3.4095526,4.6674168
0.3718997,-3.4139756,4.6988862
0.3277624,-3.4182096,4.7303556
0.2845936,-3.4222723,4.7618250
0.2424284,-3.4261815,4.7932943
0.2013019,-3.4299548,4.8247637
